New Orleans Saints 2,4th,1st,10,NO,25,D,Williams,Rush,11
New Orleans Saints 2,4th,1st,10,NO,14,M,Tolbert,Rush,3
New Orleans Saints 2,4th,2nd,7,NO,11,M,Tolbert,Rush,5
New Orleans Saints 2,4th,3rd,2,NO,6,M,Tolbert,Rush,2
New Orleans Saints 2,4th,1st,4,NO,4,C,Newton,Rush,-1
Washington Redskins,1st,1st,10,CAR,20,C,Newton,Pass,13
Washington Redskins,1st,1st,10,CAR,33,C,Newton,Pass,0
Washington Redskins,1st,2nd,10,CAR,33,J,Stewart,Rush,11
Washington Redskins,1st,1st,10,CAR,44,D,Williams,Rush,4
Washington Redskins,1st,2nd,6,CAR,48,C,Newton,Pass,13
Washington Redskins,1st,1st,10,WSH,39,C,Newton,Pass,0
Washington Redskins,1st,2nd,10,WSH,39,J,Stewart,Rush,1
Washington Redskins,1st,3rd,9,WSH,38,C,Newton,Pass,0
Washington Redskins,1st,1st,10,CAR,31,J,Stewart,Rush,1
Washington Redskins,1st,2nd,9,CAR,32,C,Newton,Pass,8
Washington Redskins,1st,3rd,1,CAR,40,C,Newton,Rush,3
Washington Redskins,1st,1st,10,CAR,43,C,Newton,Pass,0
Washington Redskins,1st,2nd,10,CAR,43,J,Stewart,Rush,17
Washington Redskins,1st,1st,10,WSH,40,C,Newton,Rush,10
Washington Redskins,1st,1st,10,WSH,30,D,Williams,Rush,30
Washington Redskins,2nd,1st,10,CAR,2,M,Tolbert,Rush,1
Washington Redskins,2nd,2nd,9,CAR,3,C,Newton,Pass,7
Washington Redskins,2nd,3rd,2,CAR,10,C,Newton,Rush,11
Washington Redskins,2nd,1st,10,CAR,21,C,Newton,Pass,4
Washington Redskins,2nd,2nd,6,CAR,25,C,Newton,Rush,0
Washington Redskins,2nd,3rd,6,CAR,25,C,Newton,Pass,17
Washington Redskins,2nd,1st,10,CAR,42,C,Newton,Pass,6
Washington Redskins,2nd,1st,10,WSH,37,C,Newton,Pass,3
Washington Redskins,2nd,2nd,7,WSH,34,C,Newton,Pass,8
Washington Redskins,2nd,1st,10,WSH,19,C,Newton,Pass,0
Washington Redskins,2nd,2nd,10,WSH,19,C,Newton,Pass,0
Washington Redskins,2nd,3rd,10,WSH,19,C,Newton,Pass,19
Washington Redskins,3rd,1st,10,CAR,17,C,Newton,Pass,5
Washington Redskins,3rd,2nd,5,CAR,22,D,Williams,Rush,1
Washington Redskins,3rd,3rd,4,CAR,23,C,Newton,Pass,0
Washington Redskins,3rd,1st,22,CAR,13,J,Stewart,Rush,21
Washington Redskins,3rd,2nd,1,CAR,34,M,Tolbert,Rush,3
Washington Redskins,3rd,1st,10,CAR,37,C,Newton,Pass,0
Washington Redskins,3rd,2nd,15,CAR,32,C,Newton,Pass,14
Washington Redskins,3rd,3rd,1,CAR,46,M,Tolbert,Rush,0
Washington Redskins,4th,1st,10,CAR,9,C,Newton,Pass,82
Washington Redskins,4th,1st,9,WSH,9,D,Williams,Rush,3
Washington Redskins,4th,1st,1,WSH,1,G,Williams,Rush,1
Washington Redskins,4th,1st,10,CAR,45,C,Newton,Pass,5
Washington Redskins,4th,2nd,5,50,50,D,Williams,Rush,1
Washington Redskins,4th,3rd,4,WSH,49,C,Newton,Rush,5
Washington Redskins,4th,1st,10,WSH,44,J,Stewart,Rush,3
Washington Redskins,4th,2nd,7,WSH,41,J,Stewart,Rush,-2
Washington Redskins,4th,3rd,9,WSH,43,C,Newton,Pass,0
Washington Redskins,4th,1st,10,WSH,34,D,Williams,Rush,-2
Washington Redskins,4th,2nd,12,WSH,36,C,Newton,Pass,0
Washington Redskins,4th,3rd,12,WSH,36,C,Newton,Pass,4
Washington Redskins,4th,1st,5,WSH,44,J,Stewart,Rush,1
Washington Redskins,4th,2nd,4,WSH,43,J,Stewart,Rush,0
Washington Redskins,4th,3rd,4,WSH,43,J,Stewart,Rush,-2
San Diego Chargers,1st,1st,10,CAR,20,D,Williams,Rush,2
San Diego Chargers,1st,2nd,8,CAR,22,C,Newton,Pass,20
San Diego Chargers,1st,1st,10,CAR,42,C,Newton,Pass,0
San Diego Chargers,1st,1st,10,SD,36,D,Williams,Rush,12
San Diego Chargers,1st,1st,10,SD,24,C,Newton,Rush,3
San Diego Chargers,1st,2nd,7,SD,21,C,Newton,Pass,6
San Diego Chargers,1st,3rd,1,SD,15,M,Tolbert,Rush,4
San Diego Chargers,1st,1st,10,SD,11,M,Tolbert,Rush,6
San Diego Chargers,1st,2nd,4,SD,5,C,Newton,Rush,3
San Diego Chargers,1st,3rd,1,SD,2,C,Newton,Pass,0
San Diego Chargers,1st,4th,1,SD,2,C,Newton,Rush,1
San Diego Chargers,1st,1st,1,SD,1,M,Tolbert,Rush,1
San Diego Chargers,1st,1st,10,SD,21,C,Newton,Pass,8
San Diego Chargers,1st,1st,5,SD,5,D,Williams,Rush,4
San Diego Chargers,1st,2nd,1,SD,1,M,Tolbert,Rush,1
San Diego Chargers,1st,1st,10,CAR,28,D,Williams,Rush,15
San Diego Chargers,1st,1st,5,CAR,48,C,Newton,Pass,0
San Diego Chargers,1st,2nd,5,CAR,48,D,Williams,Rush,1
San Diego Chargers,1st,3rd,4,CAR,49,C,Newton,Pass,6
San Diego Chargers,1st,1st,10,SD,45,C,Newton,Pass,0
San Diego Chargers,1st,2nd,10,SD,45,C,Newton,Pass,45
San Diego Chargers,2nd,1st,10,CAR,4,C,Newton,Pass,0
San Diego Chargers,2nd,2nd,10,CAR,4,M,Tolbert,Rush,2
San Diego Chargers,2nd,1st,10,CAR,11,D,Williams,Rush,6
San Diego Chargers,2nd,2nd,4,CAR,17,C,Newton,Pass,11
San Diego Chargers,2nd,1st,10,CAR,28,C,Newton,Pass,-6
San Diego Chargers,2nd,2nd,16,CAR,22,C,Newton,Pass,13
San Diego Chargers,2nd,3rd,3,CAR,35,C,Newton,Pass,7
San Diego Chargers,2nd,1st,10,CAR,42,C,Newton,Pass,0
San Diego Chargers,2nd,2nd,10,CAR,42,D,Williams,Rush,7
